instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__depthOhorizon3,daubPlots__depthMhorizon3,daubPlots__depthOhorizon4,daubPlots__depthMhorizon4,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,vegRich_tree,vegRich_shrub,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__direction,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__circumStem,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06T20:17:20.679Z,null,null,null,null,null,null,null,null,null,null,null,null,
uuid:0ae51c9d-f98f-425e-86f4-3fa7628e8bad,2_2 aspen grove,2018-08-09T17:26:00.000Z,43.75776124,-110.9044771,2503.211117,6,,,,null,West,25,null,sunny,2018-08-09T17:26:31.511Z,C8:14:79:50:D6:8E,40,30,4,0,6,2,4,0,5,2,10,0,5,0,5,0,6,null,54,Potr,4,2,0,15,2018-08-09T17:38:56.158Z,Fir,1,4,35,north,vegetative,null,45,300,470,810,94,2018-08-10T22:59:33.981Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apiaceae,3,,,,2018-08-09T17:45:52.855Z,Fir,2,15,43,west,fruiting,null,217,820,850,3260,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum,2,,,,2018-08-09T17:57:32.359Z,Fir,3,22,47,east,vegetative,null,77,340,400,1000,126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus,2,,,,2018-08-09T18:04:56.549Z,Fir,4,31,35,north,vegetative,null,187,900,770,2060,130,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass,2,,,,2018-08-09T18:15:20.486Z,Fir,5,38,27,east,fruiting,null,240,500,500,1400,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epiang,3,,,,2018-08-09T18:30:30.265Z,Fir,6,50,29,west,fruiting,null,99,500,530,1660,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heracleum,3,,,,2018-08-09T18:36:19.248Z,Fir,7,44,21,north,fruiting,null,100,330,300,1960,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veg aster,2,,,,2018-08-09T18:43:50.174Z,Fir,8,23,18,south,fruiting,null,103,700,700,2060,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White aster,2,,,,2018-08-09T18:55:53.210Z,Fir,9,25,10,north,fruiting,null,145,800,800,2260,165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geum,2,,,,2018-08-09T19:04:58.642Z,Fir,10,18,4,north,fruiting,null,87,350,300,2260,180,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupine,1,,,,2018-08-09T19:14:51.447Z,Potr,1,11,17,west,vegetative,null,34,400,350,950,280,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedicularis,1,,,,2018-08-09T19:38:09.198Z,Potr,2,11,11,null,vegetative,null,7,160,260,280,110,
,,,,,,,,,,,,,,,,,3,12,4,0,6,2,3,0,5,0,2,0,11,0,9,0,2,null,52.6,Fir,4,,,,2018-08-09T19:59:01.952Z,Potr,3,9,11,null,vegetative,null,15,350,150,400,300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apiacea,3,,,,2018-08-09T20:12:05.180Z,Potr,4,23,33,null,vegetative,null,12,190,190,380,210,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum,4,,,,2018-08-09T20:20:00.257Z,Potr,5,12,42,null,vegetative,null,10,120,100,300,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epiang,3,,,,2018-08-09T20:24:06.140Z,Potr,6,4,38,null,vegetative,null,31,420,280,650,240,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heeacleum,1,,,,2018-08-09T20:32:54.412Z,Potr,7,0,47,null,vegetative,null,1,74,100,175,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass,3,,,,2018-08-09T20:37:03.794Z,Potr,8,19,49,null,vegetative,null,7,185,160,280,220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White aster,2,,,,2018-08-09T20:42:54.065Z,Potr,9,29,48,null,vegetative,null,32,300,150,200,130,
,,,,,,,,,,,,,,,,,48,16,4,0,5,3,2,0,4,0,6,0,8,0,8,0,5,null,53.9,Potr,4,,,,2018-08-09T20:49:55.864Z,Potr,10,21,43,null,vegetative,null,8,200,160,320,230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heeacleum,3,,,,2018-08-09T20:56:41.351Z,Epiang,1,4,23,null,fruiting,null,null,23,23,117,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epiang,2,,,,2018-08-09T21:11:17.040Z,Epiang,2,9,21,null,fruiting,null,null,30,25,100,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White aster,2,,,,2018-08-09T21:19:38.854Z,Epiang,3,11,20,null,flowering,null,null,30,29,100,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalictrum,3,,,,2018-08-09T21:25:10.817Z,Epiang,4,12,23,null,flowering,null,null,27,25,110,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus,1,,,,2018-08-09T21:29:13.871Z,Epiang,5,6,30,null,fruiting,null,null,35,30,186,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass,3,,,,2018-08-09T21:36:42.237Z,Epiang,6,6,12,null,flowering,null,null,31,30,144,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srviceberry,2,,,,2018-08-09T21:40:08.970Z,Epiang,7,5,11,null,flowering,null,null,33,30,116,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedicularis,1,,,,2018-08-09T21:43:00.359Z,Epiang,8,24,28,null,flowering,null,null,33,28,100,85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apiaceae,2,,,,2018-08-09T21:48:14.735Z,Epiang,9,24,30,null,flowering,null,null,29,24,112,80,
,,,,,,,,,,,,,,,,,46,50,3,2,3,1,4,0,2,null,6,null,8,0,6,0,12,null,58.4,Potr,3,,,,2018-08-09T21:51:03.808Z,Epiang,10,24,37,null,fruiting,null,null,37,34,100,80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupine,4,,,,2018-08-09T21:54:46.148Z,Thalictrum,1,1,26,null,vegetative,null,null,14,13,50,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heracleum,2,,,,2018-08-10T18:42:02.033Z,Thalictrum,2,6,0,null,fruiting,null,null,26,24,84,70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb,2,,,,2018-08-10T18:49:02.054Z,Thalictrum,3,39,18,null,fruiting,null,null,23,20,43,41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk foeb 2,2,,,,2018-08-10T18:58:05.084Z,Thalicfrum,4,44,27,null,fruiting,null,null,25,21,43,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White aster,2,,,,2018-08-10T19:01:36.169Z,Thalictrum,5,26,16,null,fruiting,null,null,23,21,50,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus,2,,,,2018-08-10T19:08:11.021Z,Thalictrum,6,17,21,null,fruiting,null,null,29,28,68,54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass,2,,,,2018-08-10T19:13:23.000Z,Thalictrum,7,30,47,null,fruiting,null,null,28,25,38,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla,1,,,,2018-08-10T19:19:29.816Z,Thalictrum,8,32,10,null,fruiting,null,null,61,58,81,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 3,1,,,,2018-08-10T19:26:20.730Z,Thalictrum,9,50,42,null,vegetative,null,null,23,15,22,19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fragaria,1,,,,2018-08-10T19:31:07.642Z,Thalictrum,10,3,23,null,fruiting,null,null,36,31,81,76,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 4,1,,,,2018-08-10T19:37:04.040Z,White aster,1,1,26,null,flowering,null,null,14,14,93,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 5,1,,,,2018-08-10T19:52:48.898Z,White aster,2,10,50,null,flowering,null,null,16,15,87,70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb 6,1,,,,2018-08-10T20:02:47.681Z,White aster,3,25,27,null,fruiting,null,null,19,19,81,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:10:38.612Z,White aster,4,40,45,null,fruiting,null,null,17,17,84,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:17:08.599Z,White aster,5,28,29,null,fruiting,null,null,12,11,65,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:21:16.382Z,White aster,6,46,40,null,flowering,null,null,20,18,80,53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:26:18.844Z,White aster,7,28,30,null,fruiting,null,null,15,15,86,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:32:06.307Z,White aster,3,47,5,null,flowering,null,null,20,20,108,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:38:36.928Z,White aster,9,38,21,null,fruiting,null,null,20,16,88,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:46:56.332Z,White aster,10,39,39,null,fruiting,null,null,16,16,72,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T20:49:43.150Z,Lupone,1,10,27,null,fruiting,null,null,70,60,86,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:05:40.270Z,Lupine,2,7,29,null,fruiting,null,null,77,64,88,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:10:24.950Z,Lupine,3,21,37,null,fruiting,null,null,45,40,86,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:15:17.805Z,Lupone,4,41,24,null,fruiting,null,null,90,42,79,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:20:26.831Z,Lupine,5,42,27,null,fruiting,null,null,55,45,53,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:24:52.088Z,Lupine,6,31,45,null,flowering,null,null,107,97,109,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:29:02.841Z,Lupine,7,32,27,null,fruiting,null,null,103,63,98,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:35:03.789Z,Lupine,8,38,28,null,fruiting,null,null,32,30,90,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:41:36.939Z,Lupine,9,37,18,null,fruiting,null,null,58,50,65,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:45:50.609Z,Lupine,10,18,3,null,fruiting,null,null,57,40,73,45,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T21:53:46.818Z,Heracleum,1,0,27,null,fruiting,null,null,105,80,130,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:12:35.277Z,Heracleum,2,0,35,null,fruiting,null,null,40,37,120,42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:15:33.359Z,Heracleum,3,18,5,null,fruiting,null,null,63,50,108,55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:23:45.462Z,Heracleum,4,47,4,null,vegetative,null,null,60,46,71,69,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:28:02.801Z,Heracleum,5,6,3,null,vegetative,null,null,71,65,52,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:33:37.641Z,Heracleum,6,35,26,null,fruiting,null,null,63,48,118,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:39:22.911Z,Heracleum,7,6,30,null,vegetative,null,null,70,45,52,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:44:32.331Z,Heracleum,8,6,31,null,fruiting,null,null,113,113,117,52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:48:50.239Z,Heeacleum,9,13,22,null,fruiting,null,null,75,40,111,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10T22:54:16.944Z,Heracleum,10,24,30,null,fruiting,null,null,67,65,128,60,
uuid:899ac432-74d6-4233-ab33-86311f7a45e7,Table mointain 2_3,2018-08-11T16:38:00.000Z,43.76052112,-110.8874358,2865.096746,8,1534005572720.jpg,image/jpeg,https://buerklelab-202118.appspot.com/view/binaryData?blobKey=build_EPSCoRplantTraits-July10_1531237127%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A899ac432-74d6-4233-ab33-86311f7a45e7%5D%2FsiteInfo%3AsitePic,,West,20,null,sunny,2018-08-11T16:37:52.810Z,C8:14:79:50:D6:8E,20,47,0,5,1,1,2,0,0,0,4,0,6,0,9,0,5,null,60.2,Purple aster,3,2,1,7,2018-08-11T17:39:19.182Z,Fir,1,6,27,south,fruiting,null,null,500,430,1590,95,2018-08-11T23:46:07.638Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apiaceae,2,,,,2018-08-11T17:45:50.479Z,Fir,2,9,27,west,fruiting,null,65,400,350,1060,144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow aster,2,,,,2018-08-11T17:52:06.417Z,Fir,3,4,10,east,fruiting,null,70,380,290,1660,175,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumex,2,,,,2018-08-11T17:58:35.361Z,Fir,4,4,6,null,fruiting,null,40,210,203,670,95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupine,2,,,,2018-08-11T18:04:49.050Z,Fir,5,0,7,west,fruiting,null,103,400,300,1360,147,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass,2,,,,2018-08-11T18:12:22.031Z,Fir,6,45,0,west,fruiting,null,67,330,200,1360,220,
,,,,,,,,,,,,,,,,,29,17,4,0,5,0,5,0,6,0,6,0,4,0,6,0,11,null,52.6,Mertensiana,2,,,,2018-08-11T18:16:38.659Z,Fir,7,48,6,south,fruiting,null,100,300,400,1760,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fir,6,,,,2018-08-11T18:27:20.042Z,Fir,8,40,24,west,fruiting,null,74,400,250,1260,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aster,3,,,,2018-08-11T18:33:15.506Z,Fir,9,35,29,north,fruiting,null,71,380,300,1310,205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus,1,,,,2018-08-11T18:40:02.329Z,Fir,10,35,32,east,fruiting,null,93,400,320,1560,230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedicularis,2,,,,2018-08-11T18:48:50.177Z,Pine,1,3,30,west,fruiting,null,150,900,820,1160,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass,1,,,,2018-08-11T19:07:48.419Z,Pine,2,8,34,south,fruiting,null,52,230,230,520,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex,1,,,,2018-08-11T19:13:00.680Z,Pine,3,33,35,north,fruiting,null,67,300,400,400,180,
,,,,,,,,,,,,,,,,,24,8,0,6,0,1,1,0,0,0,15,0,10,0,7,0,15,null,59.5,Purple aster,2,,,,2018-08-11T19:19:54.146Z,Pine,4,36,38,east,fruiting,null,58,700,500,700,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epiang,1,,,,2018-08-11T19:27:14.709Z,Pine,5,39,39,west,fruiting,null,38,720,600,1260,145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass 1,2,,,,2018-08-11T19:30:38.878Z,Pine,6,48,30,west,fruiting,null,146,600,800,1360,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass 2,1,,,,2018-08-11T19:37:54.278Z,Pine,7,25,20,east,fruiting,null,81,500,600,1360,170,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumex,2,,,,2018-08-11T19:49:28.514Z,Pine,8,35,12,north,fruiting,null,67,300,300,300,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupine,1,,,,2018-08-11T19:53:45.593Z,Pine,9,37,0,north,fruiting,null,61,600,500,1760,215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex,1,,,,2018-08-11T20:00:49.874Z,Pine,10,0,0,west,vegetative,null,92,220,150,260,157,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilia,1,,,,2018-08-11T20:05:58.097Z,Epiang,1,13,25,null,flowering,null,null,13,12,40,20,
,,,,,,,,,,,,,,,,,50,2,4,4,4,0,1,0,6,0,10,0,12,0,10,0,10,null,57.1,Fir,6,,,,2018-08-11T20:19:34.875Z,Epiang,2,19,27,null,flowering,null,null,21,19,61,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apiaceae,2,,,,2018-08-11T20:22:39.504Z,Epiang,3,11,40,null,flowering,null,null,26,10,43,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mertensiana,2,,,,2018-08-11T20:25:34.288Z,Epiang,4,12,45,null,flowering,null,null,18,14,56,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White aster,3,,,,2018-08-11T20:27:31.211Z,Epiang,5,27,44,null,flowering,null,null,13,11,56,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmorhiza,1,,,,2018-08-11T20:31:34.314Z,Epiang,5,25,38,null,flowering,null,null,10,9,40,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:34:32.804Z,Epiang,7,46,26,null,flowering,null,null,16,15,47,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:37:51.204Z,Epiang,8,28,2,null,flowering,null,null,17,17,68,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:41:46.120Z,Epiang,9,25,0,null,flowering,null,null,19,19,63,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:45:34.092Z,Epiang,10,26,0,null,flowering,null,null,46,25,90,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:50:17.853Z,Purple aster,1,2,24,null,flowering,null,null,34,33,23,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T20:59:11.571Z,Purple,2,40,13,null,flowering,null,null,40,36,23,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:04:20.785Z,Purple,3,3,13,null,flowering,null,null,19,18,23,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:07:43.237Z,Purple,4,15,20,null,flowering,null,null,37,35,20,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:10:59.207Z,Purple,5,6,34,null,flowering,null,null,37,25,14,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:14:41.108Z,Purple,6,29,13,null,flowering,null,null,38,35,43,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:18:27.878Z,Purple,7,49,37,null,flowering,null,null,15,11,18,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:22:27.547Z,Purple,8,49,0,null,flowering,null,null,15,11,26,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:25:45.098Z,Purple,9,16,25,null,flowering,null,null,18,12,8,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:29:25.942Z,Purple,10,22,32,null,flowering,null,null,null,null,null,null,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:41:51.454Z,Apiaceae carrot,1,2,23,null,flowering,null,null,74,68,60,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:42:53.977Z,Carrot,2,10,26,null,fruiting,null,null,64,61,74,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:46:22.650Z,Carrot,3,21,26,null,vegetative,null,null,70,57,43,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:50:08.924Z,Carrot,4,25,22,null,fruiting,null,null,49,31,46,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:52:23.999Z,Carrot,5,31,26,null,vegetative,null,null,57,44,21,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T21:57:16.535Z,Carrot,6,23,11,null,fruiting,null,null,74,43,59,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:01:44.133Z,Carrot,7,34,11,null,fruiting,null,null,76,43,76,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:06:13.097Z,Carrot,8,47,13,null,fruiting,null,null,21,30,66,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:10:02.622Z,Carrot,9,49,26,null,fruiting,null,null,90,63,89,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:14:00.448Z,Careot,10,47,38,null,fruiting,null,null,31,16,29,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:18:03.586Z,White aster,1,6,22,null,flowering,null,null,80,63,60,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:29:13.931Z,White aster,2,11,19,null,flowering,null,null,86,82,46,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:32:38.056Z,White aster,3,15,34,null,flowering,null,null,93,61,42,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:37:36.047Z,White aster,4,16,35,null,flowering,null,null,63,44,31,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:40:53.295Z,White aster,5,10,37,null,flowering,null,null,54,51,35,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:44:03.604Z,White aster,6,7,38,null,flowering,null,null,54,39,44,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:47:27.852Z,White aster,7,15,38,null,flowering,null,null,70,51,44,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:50:38.961Z,White aster,8,16,44,null,flowering,null,null,98,93,56,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:55:18.770Z,White aster,9,15,48,null,flowering,null,null,87,87,75,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T22:57:55.233Z,White aster,10,15,50,null,flowering,null,null,103,85,57,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:02:57.869Z,Mertensiana,1,26,14,null,flowering,null,null,83,75,58,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:12:33.616Z,Mertensiana,2,28,15,null,flowering,null,null,61,55,65,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:15:56.594Z,Mertensiana,3,15,30,null,flowering,null,null,128,100,68,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:19:28.719Z,Mertensiana,4,34,15,null,flowering,null,null,22,21,49,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:23:25.388Z,Mertensiana,5,33,16,null,flowering,null,null,40,33,51,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:30:12.045Z,Mertensiana,6,38,18,null,flowering,null,null,54,62,57,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:31:57.436Z,Mertensiana,7,42,25,null,flowering,null,null,120,116,68,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:34:14.843Z,Mertensiana,8,45,31,null,flowering,null,null,80,50,71,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-11T23:38:23.367Z,Mertensiana,9,38,25,null,flowering,null,null,70,58,73,40,
